question,answer
"Apa alamat rumah sakit ini?","Alamat rumah sakit kami adalah Jl. Jenderal Sudirman No. 123, Kota Jakarta."
"Apakah rumah sakit ini memiliki layanan gawat darurat?","Ya, kami memiliki layanan gawat darurat 24/7."
"Bagaimana saya bisa membuat janji temu dengan dokter?","Anda dapat membuat janji temu dengan dokter kami melalui situs web kami atau menghubungi pusat layanan pelanggan kami di nomor 123-456-789."
"Berapa biaya untuk konsultasi dokter umum?","Biaya konsultasi dokter umum kami adalah Rp 200.000."
"Apa jam operasional apotek di rumah sakit?","Apotek kami buka dari pukul 08.00 pagi hingga 10.00 malam setiap hari."
"Apakah rumah sakit ini menerima asuransi kesehatan?","Kami menerima berbagai jenis asuransi kesehatan. Silakan hubungi kami untuk informasi lebih lanjut."
"Apa saja spesialisasi dokter yang tersedia di rumah sakit ini?","Kami memiliki berbagai spesialisasi dokter, termasuk kardiologi, bedah umum, ortopedi, dan banyak lagi."
"Bagaimana saya bisa menghubungi departemen keuangan?","Anda dapat menghubungi departemen keuangan kami di nomor 987-654-321 atau mengirimkan email ke finance@example.com."
"Apakah ada fasilitas parkir di rumah sakit?","Ya, kami memiliki fasilitas parkir yang luas untuk pengunjung rumah sakit."
"Apakah rumah sakit ini memiliki kamar rawat inap?","Kami memiliki kamar rawat inap yang nyaman untuk pasien yang memerlukan perawatan lebih lanjut."
"Apa nomor telepon rumah sakit ini?","Nomor telepon rumah sakit kami adalah 021-555-1234."
"Apakah rumah sakit ini memiliki fasilitas MRI?","Ya, kami memiliki fasilitas MRI yang canggih untuk kebutuhan diagnosa pasien."
"Bagaimana prosedur pendaftaran pasien baru?","Pasien baru dapat mendaftar melalui loket pendaftaran di rumah sakit atau melalui situs web kami."
"Apa saja jenis operasi yang bisa dilakukan di rumah sakit ini?","Kami dapat melakukan berbagai jenis operasi, termasuk operasi jantung, ortopedi, dan bedah saraf."
"Apakah rumah sakit ini menyediakan layanan ambulans?","Ya, kami menyediakan layanan ambulans 24/7 untuk keadaan darurat."
"Apakah rumah sakit ini memiliki klinik gigi?","Kami memiliki klinik gigi dengan dokter gigi yang berpengalaman."
"Berapa biaya untuk rawat inap per malam?","Biaya rawat inap per malam bervariasi tergantung jenis kamar, mulai dari Rp 500.000."
"Bagaimana cara mendapatkan rekam medis saya?","Anda dapat meminta salinan rekam medis Anda dengan menghubungi departemen rekam medis kami."
"Apakah ada layanan konsultasi online dengan dokter?","Ya, kami menyediakan layanan konsultasi online melalui aplikasi kesehatan kami."
"Apakah rumah sakit ini menyediakan vaksinasi?","Kami menyediakan berbagai jenis vaksinasi, termasuk vaksinasi anak dan dewasa."
"Bagaimana cara mendapatkan informasi tentang kesehatan di rumah sakit ini?","Anda dapat mengunjungi pusat informasi kesehatan di lantai 1 rumah sakit kami."
"Apakah rumah sakit ini memiliki program kesehatan untuk lansia?","Kami memiliki program kesehatan khusus untuk lansia, termasuk pemeriksaan rutin dan fisioterapi."
"Apakah ada layanan rehabilitasi di rumah sakit ini?","Ya, kami memiliki layanan rehabilitasi untuk pasien pasca operasi atau cedera."
"Apakah rumah sakit ini menyediakan layanan fisioterapi?","Kami menyediakan layanan fisioterapi dengan terapis yang berpengalaman."
"Apa saja fasilitas yang tersedia di kamar rawat inap?","Kamar rawat inap kami dilengkapi dengan TV, AC, dan kamar mandi pribadi."
"Apakah ada layanan makanan khusus untuk pasien?","Kami menyediakan layanan makanan khusus sesuai dengan kebutuhan diet pasien."
"Bagaimana saya bisa mengetahui jadwal dokter?","Jadwal dokter dapat dilihat di situs web kami atau dengan menghubungi pusat layanan pelanggan."
"Apakah rumah sakit ini memiliki program kesehatan anak?","Kami memiliki program kesehatan anak yang mencakup imunisasi, pemeriksaan rutin, dan konsultasi gizi."
"Apakah ada layanan pengambilan sampel darah di rumah sakit ini?","Kami menyediakan layanan pengambilan sampel darah untuk keperluan laboratorium."
